"COUNTY","POLL PLACE ID","POLLING PLACE NAME","VOTER COUNT"
"ANDERSON","95607","1ST BAPTIST CHURCH-SLOCUM","337"
"ANDERSON","94334","1ST BAPTIST NECHES","239"
"ANDERSON","25633","1ST BAPTIST-ELKHART","487"
"ANDERSON","5342","ANTIOCH BAPTIST CHURCH BOX 15","149"
"ANDERSON","12261","ANTIOCH BAPTIST CHURCH BOX 8","28"
"ANDERSON","16266","CAYUGA HIGH SCHOOL","211"
"ANDERSON","5344","DAV POST","112"
"ANDERSON","5332","DENSON SPRINGS COMM","61"
"ANDERSON","5345","FRANKSTON COURTHOUSE ANNEX","557"
"ANDERSON","30986","FREEDOM FELLOWSHIP CHURCH","115"
"ANDERSON","14624","HARMONY BAPTIST CHURCH","105"
"ANDERSON","5349","MONTALBA COMM CENTR","237"
"ANDERSON","32180","NEW FELLOWSHIP","108"
"ANDERSON","95605","PALESTINE CIVIC CENTER","233"
"ANDERSON","14628","PALESTINE HIGH SCHOOL","158"
"ANDERSON","5340","PISD ADMIN OFFICE","167"
"ANDERSON","5350","PISGAH BAPTIST CHURCH","321"
"ANDERSON","14633","SWANSON HILL","159"
"ANDERSON","5338","TENN COLONY COMM CENTER","342"
"ANDERSON","14638","TUCKER COMM","190"
"ANDERSON","5334","WASHIGNTON EARLY CHILD","100"
"ANDERSON","5346","WESTWOOD JR. HIGH","302"
"ANDREWS","5352","JAMES ROBERTS CENTER","1079"
"ANGELINA","32902","BETHEL ASSEMBLY OF GOD","439"
"ANGELINA","95223","BRANDON COMMUNITY CENTER","223"
"ANGELINA","30072","BURKE COMMUNITY CENTER","147"
"ANGELINA","5365","CHAMBERS PARK COMMUNITY CENTER","170"
"ANGELINA","24541","COMMUNITY SERVICES MEETING RM 104","219"
"ANGELINA","5360","CROSS ROAD BAPTIST CHURCH","156"
"ANGELINA","30071","DENMAN AVE BAPTIST CHURCH","152"
"ANGELINA","30067","EMANUEL ASSEMBLY OF GOD","221"
"ANGELINA","5378","FAIRVIEW BAPTIST CHURCH","239"
"ANGELINA","5376","FELLOWSHIP HALL","202"
"ANGELINA","5390","FELLOWSHIP HALL","175"
"ANGELINA","94115","FIRST CHRISTIAN CHURCH","203"
"ANGELINA","5380","FIRST ORA MISSIONARY BAPTIST CHURCH","118"
"ANGELINA","5364","FULLER SPRINGS BAPTIST CHURCH","181"
"ANGELINA","5389","HARMONY HILL BAPTIST CHURCH","176"
"ANGELINA","30066","LIFE GATE CHURCH GT (GLAD TIDINGS)","54"
"ANGELINA","94114","LIFE POINT CHURCH","149"
"ANGELINA","95183","LOTTIE & ARTHUR TEMPLE CIVIC CENTER","217"
"ANGELINA","30068","LUFKIN RESTORATION CENTER","283"
"ANGELINA","30073","LUFKIN SHRINE CLUB","158"
"ANGELINA","5379","O'QUINN BAPTIST CHURCH","394"
"ANGELINA","95186","OAK FLAT MISSIONARY BAPTIST CHURCH","159"
"ANGELINA","5353","POLLOK BAPTIST CHURCH","305"
"ANGELINA","5357","REDLAND SCHOOL  ACE CAMPUS","204"
"ANGELINA","5383","SALEM BAPTIST CHURCH","180"
"ANGELINA","30075","SOUTHSIDE BAPTIST CHURCH","71"
"ANGELINA","5366","ST PAUL'S METHODIST CHURCH","212"
"ANGELINA","5375","WOODLAWN  BAPTIST CHURCH","325"
"ANGELINA","95185","ZAVALLA FIRST BAPTIST CHURCH FAMILY LIFE CENTER","231"
"ARANSAS","5391","INSIDE","276"
"ARANSAS","95172","INSIDE","87"
"ARANSAS","89622","INSIDE","303"
"ARANSAS","90180","INSIDE BACK ENTRANCE","534"
"ARANSAS","91384","LOBBY","66"
"ARCHER","94193","ARCHER COUNTY ACTIVITY BUILDING","205"
"ARCHER","94196","HOLLIDAY COMMUNITY CENTER","219"
"ARCHER","94198","MEGARGEL CITY HALL","80"
"ARCHER","94197","SCOTLAND CITY  HALL","176"
"ARCHER","94195","WINDTHORST KNIGHTS OF COLUMBUS HALL","261"
"ARMSTRONG","90220","1ST FLOOR","103"
"ARMSTRONG","90217","FIRESTATION","62"
"ARMSTRONG","90221","FLOOR","69"
"ARMSTRONG","94807","WAYSIDE ACTIVITY BUILDING","32"
"ATASCOSA","89300","115 N MAIN ST  PLEASANTON","368"
"ATASCOSA","90601","BOARD ROOM","40"
"ATASCOSA","19974","CONFERENCE ROOM","75"
"ATASCOSA","13519","GYM","242"
"ATASCOSA","25215","HALL","357"
"ATASCOSA","14137","HALL","194"
"ATASCOSA","32404","HALL","225"
"ATASCOSA","95401","LOBBY","236"
"ATASCOSA","5430","LOBBY","223"
"ATASCOSA","94160","LOBBY","205"
"ATASCOSA","25212","LOBBY","104"
"ATASCOSA","89301","LYTLE, TEXAS","200"
"ATASCOSA","5423","ROSSVILLE HISTORICAL COMMUNITY BLDG.","268"
"ATASCOSA","5433","TRINITY BAPTIST CHURCH","402"
"ATASCOSA","5435","VERDI COMMUNITY BUILDING","145"
"AUSTIN","89369","CHILDRENS CHURCH","97"
"AUSTIN","90619","EDUCATION CENTER","253"
"AUSTIN","26983","FELLOWSHIP HALL","120"
"AUSTIN","5449","FELLOWSHIP HALL","168"
"AUSTIN","90096","FUCHS HALL","99"
"AUSTIN","19811","HALL","438"
"AUSTIN","5443","KENNEY AGRICULTURAL HALL","117"
"AUSTIN","5452","KITCHEN","179"
"AUSTIN","22908","MEETING","239"
"AUSTIN","5454","MEETING ROOM","140"
"AUSTIN","89406","MEETING ROOM","99"
"AUSTIN","89370","MEETING ROOM","286"
"AUSTIN","19810","MEETING ROOM","181"
"AUSTIN","5440","RETREAT CENTER","146"
"AUSTIN","13758","SENS ACTIVITY CENTER","196"
"AUSTIN","5450","W E HILL COMMUNITY CENTER","233"
"BAILEY","95402","FOYER","575"
"BANDERA","26959","BUS BARN","168"
"BANDERA","32583","ELECTION ROOM","125"
"BANDERA","16065","ELECTION ROOM","194"
"BANDERA","19904","GED CLASSROOM","172"
"BANDERA","5457","IN THE BAND HALL HALLWAY","156"
"BANDERA","5460","LAKEHILLS CIVIC CENTER","163"
"BANDERA","5465","LAKESHORE VOLUNTEER FIRE DEPT.","141"
"BANDERA","5458","PIPE CREEK VOL FIRE DEPT.","263"
"BANDERA","5464","TARPLEY COMMUNITY CENTER","82"
"BANDERA","5466","VANDERPOOL VOLUNTEER FIRE DEPT.","169"
"BASTROP","94178","BASTROP CO ESD NO.2 FIRE STATION #3 (CIRCLE D)","299"
"BASTROP","94181","BASTROP COUNTY ESD #1 STATION 5","250"
"BASTROP","94172","BASTROP COUNTY PCT. 1 ROAD BARN","321"
"BASTROP","94169","BASTROP FIRE DEPARTMENT STATION 2 (TAHITIAN)","312"
"BASTROP","91377","CALVARY BAPTIST CHURCH","138"
"BASTROP","91380","CEDAR CREEK UNITED METHODIST CHURCH","257"
"BASTROP","91381","CIVIC CENTER","224"
"BASTROP","94186","FAITH LUTHERAN CHURCH","304"
"BASTROP","94184","FAMILY WORSHIP CENTER","277"
"BASTROP","94170","FIRST BAPTIST CHURCH","190"
"BASTROP","94176","HEART OF THE PINES VFD","84"
"BASTROP","94179","HILLS PRAIRIE BAPTIST CHURCH","145"
"BASTROP","94174","LAKE THUNDERBIRD COMMUNITY CENTER","218"
"BASTROP","94183","LOST PINES COWBOY CHURCH","67"
"BASTROP","94185","NEW LIFE BAPTIST FELLOWSHIP","315"
"BASTROP","94177","PAIGE COMMUNITY CENTER","302"
"BASTROP","94180","RED ROCK COMMUNITY CENTER","338"
"BASTROP","94171","RIVER VALLEY CHRISTIAN FELLOWSHIP","238"
"BASTROP","94175","ROSANKY COMMUNITY CENTER","376"
"BASTROP","91379","SMITHVILLE CITY HALL","257"
"BASTROP","94173","THE GATHERING","231"
"BASTROP","94182","WYLDWOOD BAPTIST CHURCH","267"
"BAYLOR","33050","COUNTY ATTN. OFFICE","62"
"BAYLOR","33051","COURTROOM","72"
"BAYLOR","11963","LIBRARY","96"
"BAYLOR","11964","TAX ASSESSORCOLLECTOR OFFICE","79"
"BEE","5500","BEE COUNTY COLISEUM","437"
"BEE","95159","COMPUTER ROOM","286"
"BEE","94916","JOHN C. FULGHAM EVENT CENTER","287"
"BEE","94163","NEW SHERIFF'S OFFICE -TRAINING ROOM/LOBBY","90"
"BEE","94164","PARISH HALL","333"
"BEE","90100","RECEPTION HALL","296"
"BEE","90522","STUDENT CENTER","157"
"BELL","5536","310 ST JOSEPH CATH CHURCH FELLOWSHIP HALL","406"
"BELL","5530","A & E STORAGE","147"
"BELL","5514","ANDERSON CHAPEL A.M.E. CHURCH","155"
"BELL","91548","BELL COUNTY ANNEX","551"
"BELL","91541","BELL COUNTY ANNEX","786"
"BELL","91543","BELL COUNTY ANNEX","867"
"BELL","5506","BELTON NAZARENE CHURCH","715"
"BELL","5508","BELTON SENIOR CENTER","361"
"BELL","5510","BLISS COMMUNITY CENTER","634"
"BELL","5542","BOYS RANCH ROAD","299"
"BELL","5547","CENTRAL FIRE STATION","188"
"BELL","94765","CONFERENCE ROOM","200"
"BELL","5531","CROSS CHURCH ON BIRDCREEK","541"
"BELL","94763","DESTINY OUTREACH CHURCH","259"
"BELL","5537","FIRST BAPTIST CHURCH MOFFAT","701"
"BELL","5538","FIRST BAPTIST CHURCH OF ROGERS","511"
"BELL","5526","FIRST BAPTIST CHURCH OF TRIMMIER","402"
"BELL","26935","FIRST CHURCH OF THE NAZARENE","1000"
"BELL","5546","FOYER OF AUDITORIUM","685"
"BELL","5523","GRACE CHRISTIAN CENTER","730"
"BELL","5518","HARKER HEIGHTS PARKS AND RECREATION CENTER","1151"
"BELL","5532","IMMANUEL BAPTIST CHURCH","416"
"BELL","5516","J. W. SIMS COMMUNITY CENTER","640"
"BELL","91546","KILLEEN COMMUNITY CENTER","1221"
"BELL","5522","KILLEEN SENIOR CENTER @ LIONS CLUB PARK","724"
"BELL","5513","KUHLMANN CIVIC CENTER","616"
"BELL","5511","LIBERTY CHRISTIAN CENTER","389"
"BELL","94761","MPR COMMUNITY CTR","782"
"BELL","94764","NORTHSIDE CHURCH OF CHRIST","286"
"BELL","94766","ROY J. SMITH MIDDLE SCHOOL","707"
"BELL","5519","SALADO CHURCH OF CHRIST ACTIVITIES CENTER","640"
"BELL","94664","SKYLINE BAPTIST CHURCH","193"
"BELL","5525","ST PAUL CHONG HASANG CATH CHURCH","497"
"BELL","26933","SUGAR LOAF ELEMENTARY SCHOOL","615"
"BELL","5534","TEMPLE COLLEGE PAVILION","264"
"BELL","5527","TROY COMMUNITY CENTER","956"
"BELL","5528","VFW POST 1820","1030"
"BELL","94762","VFW POST 3892","253"
"BELL","5549","WEST BELL WATER SUPPLY OFFICE","559"
"BELL","5533","WILSON PARKS & RECREATION CENTER","231"
"BEXAR","93532","AUDITORIUM","123"
"BEXAR","93104","AUDITORIUM","181"
"BEXAR","93707","AUDITORIUM","450"
"BEXAR","93783","AUDITORIUM","164"
"BEXAR","92813","BLDG 3 RM 182","162"
"BEXAR","93861","BOARD RM C-100D","587"
"BEXAR","95083","BOARD ROOM","317"
"BEXAR","93799","BOYS GYM","139"
"BEXAR","93790","BOYS GYM","187"
"BEXAR","95595","BUILDING","620"
"BEXAR","92847","BUILDING","176"
"BEXAR","93681","CAFETERIA","127"
"BEXAR","93591","CAFETERIA HALLWAY","218"
"BEXAR","93715","CENTER","180"
"BEXAR","93809","CENTER","130"
"BEXAR","93779","CENTER","398"
"BEXAR","93508","CENTER","101"
"BEXAR","95885","CENTER","257"
"BEXAR","95075","CENTER","329"
"BEXAR","93562","CENTER","442"
"BEXAR","93781","CENTER","211"
"BEXAR","93654","CENTER","257"
"BEXAR","93695","CENTER","578"
"BEXAR","95883","CENTER","150"
"BEXAR","93755","CENTER","211"
"BEXAR","93787","CENTER","230"
"BEXAR","93831","CENTER","245"
"BEXAR","93784","CENTER","329"
"BEXAR","93728","CENTER","190"
"BEXAR","95082","CENTER","452"
"BEXAR","93793","CENTER","162"
"BEXAR","96159","CENTER","78"
"BEXAR","93762","CENTER","166"
"BEXAR","93580","CENTER","151"
"BEXAR","95884","CENTER","173"
"BEXAR","92846","CENTER","242"
"BEXAR","92849","CENTER","194"
"BEXAR","93807","CENTER","519"
"BEXAR","93589","CHURCH","242"
"BEXAR","95099","CHURCH","122"
"BEXAR","93721","CHURCH","278"
"BEXAR","93718","CHURCH","254"
"BEXAR","93765","CHURCH","315"
"BEXAR","93717","CHURCH","416"
"BEXAR","93669","CHURCH","93"
"BEXAR","95102","CHURCH","212"
"BEXAR","96134","CHURCH","77"
"BEXAR","93529","CHURCH","202"
"BEXAR","93748","CHURCH","173"
"BEXAR","95079","CHURCH","216"
"BEXAR","93759","CHURCH","185"
"BEXAR","93725","CITY HALL","397"
"BEXAR","96133","CITY OFFICE","114"
"BEXAR","95984","CLUBHOUSE","302"
"BEXAR","93730","CLUBHOUSE","231"
"BEXAR","94778","COLLEGE","349"
"BEXAR","93740","COUNCIL CHAMBERS","238"
"BEXAR","93741","COUNCIL CHAMBERS","234"
"BEXAR","93702","COUNCIL CHAMBERS","136"
"BEXAR","93812","COUNCIL CHAMBERS","515"
"BEXAR","93815","COURTROOM","122"
"BEXAR","94063","FELLOWSHIP HALL","145"
"BEXAR","93469","FELLOWSHIP HALL","178"
"BEXAR","95622","FOYER","177"
"BEXAR","92850","FOYER","150"
"BEXAR","93818","FRONT OFFICE LOBBY","269"
"BEXAR","93796","FRONT OFFICE LOBBY","326"
"BEXAR","93817","GAME GYM FOYER","166"
"BEXAR","93464","GYM","157"
"BEXAR","93612","GYM","145"
"BEXAR","93798","GYM","237"
"BEXAR","93500","GYM","147"
"BEXAR","93782","GYM","186"
"BEXAR","93555","GYM","123"
"BEXAR","93836","GYM","226"
"BEXAR","93788","GYM","173"
"BEXAR","93474","GYM","137"
"BEXAR","95618","GYM","503"
"BEXAR","93819","HALL","202"
"BEXAR","95098","HALL","383"
"BEXAR","93705","HALL","237"
"BEXAR","93701","HALL","437"
"BEXAR","92811","HALL","181"
"BEXAR","94429","HALL","385"
"BEXAR","93732","HALL","410"
"BEXAR","93816","HALL","421"
"BEXAR","96135","HIGH SCHOOL","409"
"BEXAR","93699","HOSPITALITY CENTER BLDG","225"
"BEXAR","93571","HP BLDG HALLWAY","337"
"BEXAR","93461","LAC FOYER","233"
"BEXAR","93703","LARGE CONFERENCE RM","224"
"BEXAR","93585","LG CONF RM","58"
"BEXAR","93548","LIBRARY","172"
"BEXAR","93481","LIBRARY","415"
"BEXAR","93821","LIBRARY","639"
"BEXAR","92812","LIBRARY","114"
"BEXAR","93803","LIBRARY","558"
"BEXAR","93472","LIBRARY","601"
"BEXAR","93698","LIBRARY","678"
"BEXAR","93512","LIBRARY","187"
"BEXAR","93672","LIBRARY","598"
"BEXAR","92828","LIBRARY","660"
"BEXAR","92818","LIBRARY","566"
"BEXAR","93791","LIBRARY","310"
"BEXAR","93733","LIBRARY","665"
"BEXAR","93729","LIBRARY","628"
"BEXAR","93652","LIBRARY","796"
"BEXAR","93776","LIBRARY","455"
"BEXAR","93842","LIBRARY","664"
"BEXAR","93434","LIBRARY","525"
"BEXAR","93828","LIBRARY","519"
"BEXAR","93785","LIBRARY","161"
"BEXAR","93780","LIBRARY","201"
"BEXAR","93655","LIBRARY","168"
"BEXAR","93488","LIBRARY","547"
"BEXAR","93792","LIBRARY","752"
"BEXAR","93772","LIBRARY","525"
"BEXAR","93749","LIBRARY","803"
"BEXAR","95596","LIBRARY","500"
"BEXAR","93800","MAIN ENTRANCE","95"
"BEXAR","93805","MAIN GYM","152"
"BEXAR","93459","MAIN OFFICE","480"
"BEXAR","93786","MAIN OFFICE HALLWAY","186"
"BEXAR","93640","MAIN ROOM","162"
"BEXAR","93684","MALL","526"
"BEXAR","93674","MEETING RM","263"
"BEXAR","93677","PARLOR IN NULL BLDG","172"
"BEXAR","92814","PORTABLE 524","167"
"BEXAR","93436","PRACTICE GYM","267"
"BEXAR","93814","RM 1","654"
"BEXAR","93517","RM 103","48"
"BEXAR","93525","RM 114","180"
"BEXAR","93504","RM A1203","99"
"BEXAR","93758","SCHOOL","422"
"BEXAR","93760","SCHOOL","192"
"BEXAR","93829","SCHOOL","176"
"BEXAR","93763","SCHOOL","253"
"BEXAR","92839","SCHOOL","169"
"BEXAR","93710","SCHOOL","435"
"BEXAR","96147","SCHOOL","146"
"BEXAR","96138","SCHOOL","264"
"BEXAR","92822","SCHOOL","220"
"BEXAR","95101","SCHOOL","138"
"BEXAR","92823","SCHOOL","349"
"BEXAR","93742","SCHOOL","229"
"BEXAR","93688","SCHOOL","207"
"BEXAR","93827","SCHOOL","214"
"BEXAR","93753","SCHOOL","303"
"BEXAR","92855","SCHOOL","356"
"BEXAR","93693","SCHOOL","417"
"BEXAR","93111","SCHOOL","425"
"BEXAR","93737","SCHOOL","185"
"BEXAR","92830","SCHOOL","283"
"BEXAR","93485","SCHOOL","214"
"BEXAR","93789","SCHOOL","162"
"BEXAR","93445","SCHOOL","289"
"BEXAR","93447","SCHOOL","193"
"BEXAR","93495","SCHOOL","138"
"BEXAR","92824","SCHOOL","169"
"BEXAR","93538","SCHOOL","172"
"BEXAR","92845","SCHOOL","186"
"BEXAR","95983","SCHOOL","462"
"BEXAR","96139","SCHOOL","216"
"BEXAR","93754","SCHOOL","184"
"BEXAR","95621","SCHOOL","265"
"BEXAR","95597","SCHOOL","172"
"BEXAR","93797","SCHOOL","159"
"BEXAR","93451","SCHOOL","447"
"BEXAR","93745","SCHOOL","277"
"BEXAR","95100","SCHOOL","115"
"BEXAR","93743","SCHOOL","310"
"BEXAR","93757","SCHOOL","298"
"BEXAR","95081","SCHOOL","157"
"BEXAR","93764","SCHOOL","203"
"BEXAR","93466","SCHOOL","141"
"BEXAR","93770","SCHOOL","284"
"BEXAR","96142","SCHOOL","247"
"BEXAR","93109","SCHOOL","284"
"BEXAR","93535","SCHOOL","188"
"BEXAR","93756","SCHOOL","239"
"BEXAR","96148","SCHOOL","48"
"BEXAR","93454","SCHOOL","346"
"BEXAR","95620","SCHOOL","371"
"BEXAR","92843","SCHOOL","295"
"BEXAR","93678","SCHOOL","209"
"BEXAR","93680","SCHOOL","216"
"BEXAR","93691","SCHOOL","188"
"BEXAR","93811","SCHOOL","468"
"BEXAR","93441","SCHOOL","440"
"BEXAR","93690","SCHOOL","314"
"BEXAR","93649","SCHOOL","419"
"BEXAR","93767","SCHOOL","249"
"BEXAR","93070","SCHOOL","272"
"BEXAR","93709","SCHOOL","1"
"BEXAR","93739","SCHOOL","396"
"BEXAR","93666","SCHOOL","300"
"BEXAR","93843","SCHOOL","404"
"BEXAR","96098","SCHOOL","176"
"BEXAR","92832","SCHOOL","164"
"BEXAR","93686","SCHOOL","509"
"BEXAR","92834","SCHOOL","208"
"BEXAR","95627","SCHOOL","334"
"BEXAR","93719","SCHOOL","265"
"BEXAR","93478","SCHOOL","119"
"BEXAR","93438","SCHOOL","148"
"BEXAR","92821","SCHOOL","191"
"BEXAR","93716","SCHOOL","330"
"BEXAR","92815","SCHOOL","333"
"BEXAR","93822","SCHOOL","157"
"BEXAR","93659","SCHOOL","266"
"BEXAR","93432","SCHOOL","321"
"BEXAR","93541","SCHOOL","139"
"BEXAR","93773","SCHOOL","308"
"BEXAR","93449","SCHOOL","282"
"BEXAR","96158","SCHOOL","101"
"BEXAR","93838","SCHOOL","313"
"BEXAR","93777","SCHOOL","295"
"BEXAR","96146","SCHOOL","127"
"BEXAR","96145","SCHOOL","178"
"BEXAR","93697","SCHOOL","93"
"BEXAR","93726","SCHOOL","283"
"BEXAR","93840","SCHOOL","362"
"BEXAR","93824","SCHOOL","345"
"BEXAR","93841","SCHOOL","301"
"BEXAR","93766","SCHOOL","441"
"BEXAR","93696","SCHOOL","199"
"BEXAR","93683","SCHOOL","184"
"BEXAR","93662","SCHOOL","205"
"BEXAR","93724","SCHOOL","255"
"BEXAR","93837","SCHOOL","285"
"BEXAR","93752","SCHOOL","304"
"BEXAR","92825","SCHOOL","249"
"BEXAR","93734","SCHOOL","467"
"BEXAR","93656","SCHOOL","322"
"BEXAR","93437","SCHOOL","80"
"BEXAR","93802","SCHOOL","232"
"BEXAR","93720","SCHOOL","286"
"BEXAR","93435","SCHOOL","73"
"BEXAR","93808","SCHOOL","314"
"BEXAR","96140","SCHOOL","207"
"BEXAR","93689","SCHOOL","447"
"BEXAR","93443","SCHOOL","222"
"BEXAR","93736","SCHOOL","137"
"BEXAR","93823","SCHOOL","138"
"BEXAR","93771","SCHOOL","397"
"BEXAR","93433","SCHOOL","242"
"BEXAR","93833","SCHOOL","218"
"BEXAR","92826","SCHOOL","174"
"BEXAR","92837","SCHOOL","122"
"BEXAR","93675","SCHOOL","233"
"BEXAR","92858","SCHOOL","371"
"BEXAR","93712","SCHOOL","174"
"BEXAR","93746","SCHOOL","219"
"BEXAR","95623","SCHOOL","304"
"BEXAR","93738","SCHOOL","326"
"BEXAR","93141","SCHOOL","364"
"BEXAR","93747","SCHOOL","218"
"BEXAR","93804","SCHOOL","259"
"BEXAR","93643","SCHOOL","166"
"BEXAR","92829","SCHOOL","228"
"BEXAR","93456","SCHOOL","292"
"BEXAR","93708","SCHOOL","271"
"BEXAR","92819","SCHOOL","132"
"BEXAR","93483","SCHOOL","139"
"BEXAR","93722","SCHOOL","120"
"BEXAR","93795","SCHOOL","180"
"BEXAR","93825","SCHOOL","307"
"BEXAR","93682","SCHOOL","411"
"BEXAR","96143","SCHOOL","232"
"BEXAR","93768","SCHOOL","219"
"BEXAR","95103","SCHOOL","210"
"BEXAR","93694","SCHOOL","202"
"BEXAR","92827","SCHOOL","516"
"BEXAR","93664","SCHOOL","236"
"BEXAR","93769","SCHOOL","210"
"BEXAR","93761","SCHOOL","695"
"BEXAR","93806","SCHOOL","412"
"BEXAR","93687","SCHOOL","650"
"BEXAR","93750","SCHOOL","148"
"BEXAR","93832","SCHOOL","106"
"BEXAR","93448","SCHOOL","529"
"BEXAR","93820","SCHOOL","375"
"BEXAR","92816","SCHOOL","205"
"BEXAR","93440","SCHOOL","352"
"BEXAR","93835","SCHOOL","420"
"BEXAR","93801","SCHOOL","190"
"BEXAR","93657","SCHOOL","334"
"BEXAR","95097","SCHOOL","169"
"BEXAR","93692","SCHOOL","333"
"BEXAR","93751","SCHOOL","263"
"BEXAR","93774","SCHOOL","191"
"BEXAR","93700","SCHOOL","212"
"BEXAR","93830","SCHOOL","76"
"BEXAR","93794","SCHOOL","178"
"BEXAR","93775","SCHOOL","162"
"BEXAR","93439","SCHOOL","425"
"BEXAR","93565","SCHOOL","212"
"BEXAR","93446","SCHOOL","424"
"BEXAR","93560","SCHOOL","144"
"BEXAR","93127","SCIENCE LAB RM 201","614"
"BLANCO","90186","BLANCO COUNTY SOUTH ANNEX","248"
"BLANCO","5860","COMMISSIONER PCT 3 BARN","108"
"BLANCO","89668","FELLOWSHIP HALL","207"
"BLANCO","95507","FELLOWSHIP HALL","278"
"BLANCO","5859","HOPPE ROOM","101"
"BLANCO","5861","ST. LUKE'S EPISCOPAL CHURCH","54"
"BORDEN","89426","BORDEN COUNTY COURTHOUSE","22"
"BORDEN","25295","EVENT CENTER","17"
"BORDEN","89429","FAIRVIEW ELECTION BLDG","20"
"BORDEN","89424","FIRST BAPTIST CHURCH FELLOWSHIP HALL","9"
"BORDEN","89428","MURPHY ELECTION BLDG","2"
"BORDEN","89425","PLAINS COMMUNITY CENTER","22"
"BORDEN","89427","VEALMOOR ELECTION BLDG","14"
"BOSQUE","5885","CAYOTE COMMUNITY CENTER","258"
"BOSQUE","5879","CLIFTON CIVIC CENTER","224"
"BOSQUE","13211","CLIFTON CIVIC CENTER","110"
"BOSQUE","5877","CRANFILLS GAP COMMUNITY CENTER","157"
"BOSQUE","5871","IREDELL CITY HALL","201"
"BOSQUE","32170","LAKESIDE COMMUNITY CENTER","358"
"BOSQUE","27886","MERIDIAN CIVIC CENTER","149"
"BOSQUE","5875","MERIDIAN CIVIC CENTER","61"
"BOSQUE","15464","VALLEY MILLS OLD CITY HALL","467"
"BOSQUE","5872","WALNUT SPRINGS CITY HALL","235"
"BOSQUE","5882","WEST SHORE COMMUNITY CENTER","335"
"BOWIE","89275","AUXILIARY ROOM","310"
"BOWIE","89267","CAFE ROOM","186"
"BOWIE","22333","CONFERENCE ROOM","126"
"BOWIE","22348","COUNCIL CHAMBERS","489"
"BOWIE","22367","COUNCIL ROOM","490"
"BOWIE","22370","DINING AREA","117"
"BOWIE","89278","ENTRANCE HALL","175"
"BOWIE","22359","ENTRY HALLWAY","431"
"BOWIE","22365","FAMILY LIFE CENTER","92"
"BOWIE","22335","FAMILY LIFE CENTER","194"
"BOWIE","22357","FELLOWSHIP HALL","527"
"BOWIE","89265","FELLOWSHIP HALL","325"
"BOWIE","89282","FELLOWSHIP HALL","120"
"BOWIE","89272","FELLOWSHIP HALL","543"
"BOWIE","89280","FELLOWSHIP HALL","240"
"BOWIE","89276","FELLOWSHIP HALL","207"
"BOWIE","95176","FOYER","62"
"BOWIE","89266","FOYER OR GYM","114"
"BOWIE","22337","GYM","74"
"BOWIE","22349","GYM","101"
"BOWIE","89279","GYM","206"
"BOWIE","22340","GYM","226"
"BOWIE","22347","GYM","211"
"BOWIE","89273","GYM","270"
"BOWIE","22341","HALL WAY 1ST FLOOR","118"
"BOWIE","89271","MEETING AREA","326"
"BOWIE","89270","MEETING AREA A/C","222"
"BOWIE","95177","MULTI-PURPOSE BLDG","87"
"BOWIE","22366","REAR MEETING ROOM","368"
"BOWIE","89281","RECEPTION ROOM","198"
"BOWIE","22346","ROOM 102, OR 103","214"
"BOWIE","89274","STAFF LOUNGE","277"
"BOWIE","22343","TRUMAN ARNOLD CENTER","106"
"BOWIE","94207","WORSHIP CENTER","416"
"BRAZORIA","12021","ALVIN LIBRARY MEETING ROOM","1285"
"BRAZORIA","5937","ALVIN SENIOR CENTER","273"
"BRAZORIA","5949","ANNEX BLDG","178"
"BRAZORIA","32308","BRAZORIA LIBRARY MEETING ROOM","463"
"BRAZORIA","94842","CHURCH ON MASTERSROAD","114"
"BRAZORIA","90657","CLUTE EVENT CENTER","358"
"BRAZORIA","32882","COMMUNITY BLDG","177"
"BRAZORIA","5931","DAMON ELEMENTARY SCHOOL","97"
"BRAZORIA","12142","DANBURY COMMUNITY CENTER","366"
"BRAZORIA","90164","DRAINAGE DISTRICT #4 OPERATIONS BLDG","363"
"BRAZORIA","20240","EAST ANNEX RM 144","978"
"BRAZORIA","95250","EVENT CENTER","39"
"BRAZORIA","32922","FIRST CHURCH OF PEARLAND FOYER","233"
"BRAZORIA","12165","FREEPORT LIBRARY MEETING ROOM","546"
"BRAZORIA","5941","JONES CREEK COMMUNITY HOUSE","141"
"BRAZORIA","12144","LAKE JACKSON CIVIC CENTER","1331"
"BRAZORIA","5927","LIVERPOOL CITY HALL COUNCIL CHAMBERS","177"
"BRAZORIA","94019","MERIDIANA INFO CENTER","230"
"BRAZORIA","95330","NATURE CENTER","290"
"BRAZORIA","90811","NEW HARVEST CHRISTIAN FELLOWSHIP","359"
"BRAZORIA","12022","NORTH ANNEX VOTING ROOM","560"
"BRAZORIA","5929","OYSTER CREEK CITY HALL","141"
"BRAZORIA","90084","PCT 4 NORTH ANNEX COURTROOM","420"
"BRAZORIA","89766","PEARLAND REC CENTER MEETING ZONE","453"
"BRAZORIA","32090","PEARLAND WESTSIDE LIBRARY MEETING ROOM","840"
"BRAZORIA","32880","PRECINCT 4 BUILDING #2","436"
"BRAZORIA","32309","RICHWOOD CITY HALL COUNCIL CHAMBERS","362"
"BRAZORIA","29171","SANDY POINT BIBLE CHURCH FELLOWSHIP HALL","213"
"BRAZORIA","5972","SHADYCREST BAPTIST FELLOWSHIP HALL","121"
"BRAZORIA","20247","SILVERLAKE RECREATION CENTER","533"
